time,Cds1,Cds2,ax,ay,az,gx,gy,gz,pitch_f
12:05:07.691,318,342,1.037841797,-0.011230469,-0.040283203,-22.59541985,-7.755725191,2.465648855,-2.385829618
12:05:07.767,320,341,1.039550781,-0.026123047,-0.028564453,-22.47328244,-4.198473282,0.65648855,-2.400439397
12:05:07.843,317,342,1.037597656,-0.011962891,-0.038330078,-22.96183206,-1.694656489,0.778625954,-2.38942202
12:05:07.919,320,343,1.039550781,-0.018798828,-0.038330078,-22.71755725,-2.083969466,2.259541985,-2.38247253
12:05:07.996,317,340,1.040283203,-0.020263672,-0.032226563,-22.96183206,-2.748091603,0.221374046,-2.382359934
12:05:08.072,320,343,1.031738281,-0.015625,-0.051025391,-22.71755725,-2.564885496,1.007633588,-2.380128723
12:05:08.148,318,343,1.04296875,-0.022216797,-0.031982422,-22.71755725,-2.541984733,1.916030534,-2.378131003
12:05:08.224,318,341,1.030761719,-0.017578125,-0.026123047,-22.71755725,-2.511450382,-0.007633588,-2.375758903
12:05:08.300,320,343,1.037841797,-0.019042969,-0.052001953,-22.71755725,-2.381679389,1.335877863,-2.372204668
12:05:08.376,320,343,1.039306641,-0.025146484,-0.024902344,-22.96183206,-2.358778626,1.526717557,-2.369207365
12:05:08.453,320,343,1.03515625,-0.016845703,-0.032958984,-22.59541985,-2.229007634,-0.129770992,-2.364729521
12:05:08.529,320,343,1.038818359,-0.013916016,-0.038330078,-22.71755725,-2.190839695,2.618320611,-2.359394249
12:05:08.605,321,343,1.038330078,-0.024658203,-0.022460938,-22.83969466,-2.06870229,0.946564885,-2.353640424
12:05:08.681,305,342,1.038818359,-0.017822266,-0.042724609,-22.47328244,-14.10687023,1.496183206,-1.69442068
12:05:08.757,306,341,1.039794922,-0.022705078,-0.022460938,-22.71755725,-14.80152672,1.603053435,-1.826539724
12:05:08.833,308,341,1.03515625,-0.011230469,-0.039794922,-22.83969466,-15.5648855,0.396946565,-1.962646251
12:05:08.909,312,341,1.036132813,-0.015869141,-0.046875,-22.83969466,-16.07633588,2.427480916,-2.100786206
12:05:08.986,320,343,1.039306641,-0.024658203,-0.022949219,-22.59541985,-1.664122137,2.435114504,-2.31701345
12:05:09.062,320,341,1.033935547,-0.017578125,-0.031982422,-22.59541985,-1.580152672,0.27480916,-2.307616914
12:05:09.138,320,343,1.040283203,-0.015625,-0.040039063,-22.59541985,-1.58778626,1.671755725,-2.298056049
12:05:09.214,320,343,1.041015625,-0.0234375,-0.027587891,-22.83969466,-1.473282443,1.908396947,-2.288041008
12:05:09.290,324,341,1.038574219,-0.017089844,-0.031738281,-22.71755725,-1.389312977,0.053435115,-2.277137079
12:05:09.366,320,343,1.041992188,-0.015136719,-0.035400391,-22.59541985,-1.351145038,2.114503817,-2.265615089
12:05:09.443,320,343,1.037597656,-0.027099609,-0.026123047,-22.59541985,-1.183206107,1.381679389,-2.253590234
12:05:09.519,320,341,1.040283203,-0.015136719,-0.047363281,-22.59541985,-1.13740458,0.496183206,-2.240852557
